Date,Open,High,Low,Close,Adj Close,Volume
2022-01-17,155.410004,157.289993,151.149994,151.399994,149.006149,8397400
2022-01-24,149.720001,150.759995,144.050003,147.899994,145.561462,16232300
2022-01-31,147.509995,151.25,142.979996,145.029999,142.736862,13056600
2022-02-07,145.679993,147.490005,141.479996,142.639999,140.384659,9206500
2022-02-14,142.5,143.990005,140.570007,142.330002,140.079559,9920400
2022-02-21,142.25,145.529999,138.580002,145.160004,142.864807,9282100
2022-02-28,143.869995,158,143.160004,157.820007,155.324646,12452300
2022-03-07,157.210007,158.440002,147.860001,151.470001,149.075043,11299500
2022-03-14,152.220001,156.449997,151.130005,155.669998,153.208618,10030500
2022-03-21,156.039993,157.330002,153.339996,156.279999,154.455978,6561700
2022-03-28,156.570007,161.179993,156.009995,159.809998,157.944794,7115500
2022-04-04,159.649994,165.789993,158.210007,165.149994,163.222458,7558800
2022-04-11,165,165.850006,158.389999,159.160004,157.302399,6132700
2022-04-18,158.639999,162.660004,157.080002,157.509995,155.671631,6939500
2022-04-25,157.440002,170.179993,153.149994,164.440002,162.520752,13646000
2022-05-02,163.600006,164.899994,156.789993,161.779999,159.8918,9665700
2022-05-09,160.75,160.979996,154.039993,157.899994,156.057068,10003500
2022-05-16,158.050003,158.949997,150.289993,154.5,152.696762,10117300
2022-05-23,155.050003,161.009995,153.360001,161,159.120895,8150900
2022-05-30,159.820007,160,156.399994,159.119995,157.262833,7672800
2022-06-06,160,160.190002,150.440002,151.410004,150.258911,6013200
2022-06-13,149,150.399994,138.889999,140.649994,139.580704,9512300
2022-06-20,141.990005,150.619995,141.169998,150.309998,149.167282,9214200
2022-06-27,149.809998,156.009995,148.559998,155.649994,154.466675,6892400
2022-07-04,154.5,155.429993,150.350006,152.759995,151.598648,5048100
2022-07-11,152.440002,153.660004,148.710007,152.009995,150.854355,6320900
2022-07-18,152.190002,156.529999,148.800003,154.929993,153.752151,6264700
2022-07-25,154.910004,166.899994,154.380005,164.559998,163.308929,8450600
2022-08-01,163.910004,169.679993,162.149994,168.830002,167.546478,8509900
2022-08-08,169.490005,172.440002,169.020004,171.740005,170.434372,6642500
2022-08-15,170.860001,175.979996,170.100006,174.320007,172.994751,6022000
2022-08-22,173.179993,175.259995,171.470001,171.509995,170.2061,7101600
2022-08-29,170.699997,172.880005,167.809998,168.449997,167.169357,7960900
2022-09-05,169,174.570007,168.160004,173.399994,172.081726,7523700
2022-09-12,173.389999,174.740005,168.660004,169.339996,168.683716,10300500
2022-09-19,168.410004,173.130005,164.130005,165.740005,165.097687,8567700
2022-09-26,165.5,166.610001,160.089996,160.210007,159.589111,10844200
2022-10-03,161.619995,169.259995,154.729996,155.240005,154.638367,9417100
2022-10-10,155.929993,159.320007,151.220001,154.729996,154.130341,7649400
2022-10-17,156.639999,162.550003,156.419998,159.830002,159.210587,6704400
2022-10-24,162.160004,167.529999,156.300003,157.910004,157.298019,11862400
2022-10-31,157.759995,160.520004,153.869995,155.770004,155.166321,10106700
2022-11-07,156.539993,161.699997,155.880005,158.160004,157.547058,8085100
2022-11-14,158.690002,161.600006,154.570007,161.179993,160.555344,8490100
2022-11-21,162.070007,165.279999,161.539993,164.460007,163.822647,5084300
2022-11-28,163.509995,170.699997,163.460007,169.809998,169.151901,10772900
2022-12-05,168.270004,168.929993,164.789993,166.830002,166.830002,7687200
2022-12-12,168.330002,169.449997,159.470001,161.789993,161.789993,9254900
2022-12-19,160.119995,160.470001,154.429993,159.210007,159.210007,7256800
2022-12-26,159.649994,159.960007,155.550003,156.880005,156.880005,4391400
2023-01-02,157.410004,159.869995,153.559998,159.490005,159.490005,5614000
2023-01-09,161.119995,161.720001,151.740005,154.190002,154.190002,10643200
2023-01-17,154.759995,155.490005,154.25,155.350006,155.350006,373718
